ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
162,1680179802827396968,2.093,-0.325,2.516,2.042,-0.456,0.341,2.247,-0.178,0.294
163,1680179802926906766,1.313,0.319,3.042,1.361,0.173,0.296,1.393,0.475,0.294
163,1680179802926906766,2.089,-0.302,2.647,2.049,-0.438,0.341,2.197,-0.165,0.303
164,1680179803054635350,1.229,0.42,3.027,1.268,0.248,0.282,1.3,0.536,0.289
164,1680179803054635350,2.07,-0.3,2.516,2.034,-0.42,0.339,2.227,-0.153,0.313
165,1680179803126205396,1.1,0.43,2.881,1.155,0.308,0.273,1.224,0.567,0.291
165,1680179803126205396,2.063,-0.285,2.458,2.01,-0.41,0.331,2.228,-0.147,0.326
166,1680179803230649248,2.009,-0.276,2.394,1.945,-0.399,0.32,2.184,-0.142,0.333
167,1680179803328036235,1.974,-0.261,2.4,1.905,-0.39,0.315,2.128,-0.144,0.327
168,1680179803455095034,1.952,-0.247,2.395,1.888,-0.386,0.32,2.113,-0.143,0.332
169,1680179803531132191,1.921,-0.226,2.467,1.877,-0.38,0.325,2.078,-0.125,0.33
170,1680179803661874786,1.918,-0.197,2.529,1.873,-0.37,0.329,2.064,-0.098,0.338
