ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
51,1680179791546754670,1.979,-0.514,2.155,1.823,-0.701,0.302,2.15,-0.485,0.324
51,1680179791546754670,1.365,0.385,-1.86,1.697,0.295,0.386,1.229,0.436,0.329
52,1680179791656549775,1.494,0.284,-1.851,2.053,0.316,0.447,1.278,0.38,0.336
52,1680179791656549775,1.982,-0.516,2.196,1.811,-0.704,0.309,2.109,-0.49,0.316
53,1680179791754633588,1.583,0.257,-1.568,2.591,0.339,0.546,1.315,0.335,0.346
53,1680179791754633588,1.97,-0.531,2.174,1.801,-0.711,0.303,2.112,-0.497,0.311
54,1680179791847032048,1.944,-0.544,2.176,1.781,-0.707,0.284,2.08,-0.5,0.304
55,1680179791954737278,1.943,-0.543,2.134,1.772,-0.706,0.286,2.081,-0.511,0.306
56,1680179792047100661,1.959,-0.541,2.048,1.767,-0.713,0.298,2.118,-0.53,0.322
57,1680179792147855630,1.952,-0.545,2.058,1.762,-0.718,0.3,2.106,-0.533,0.317
57,1680179792147855630,1.505,0.104,-0.518,1.539,0.226,0.36,1.461,0.09,0.348
58,1680179792247236039,1.944,-0.561,2.117,1.744,-0.726,0.288,2.062,-0.53,0.306
58,1680179792247236039,1.561,0.077,-0.777,1.675,0.251,0.352,1.478,0.048,0.343
59,1680179792347476629,1.918,-0.558,2.077,1.714,-0.719,0.272,2.047,-0.537,0.301
59,1680179792347476629,1.604,0.037,-0.705,1.736,0.242,0.315,1.523,-0.005,0.328
60,1680179792456636793,1.895,-0.574,2.001,1.716,-0.72,0.288,2.083,-0.552,0.32
60,1680179792456636793,1.658,-0.01,-0.683,1.777,0.202,0.337,1.577,-0.045,0.316
61,1680179792557083819,1.898,-0.58,1.938,1.693,-0.713,0.297,2.091,-0.562,0.335
61,1680179792557083819,1.735,-0.014,-0.653,1.804,0.176,0.333,1.618,-0.07,0.31
62,1680179792657383642,1.889,-0.587,2.009,1.693,-0.723,0.3,2.051,-0.554,0.334
62,1680179792657383642,1.766,-0.048,-0.714,1.863,0.151,0.35,1.656,-0.091,0.313
63,1680179792757201821,1.819,-0.038,-0.773,1.914,0.136,0.351,1.706,-0.075,0.308
63,1680179792757201821,1.869,-0.586,1.996,1.695,-0.725,0.289,2.065,-0.56,0.33
64,1680179792847662047,1.898,-0.567,1.985,1.688,-0.727,0.272,2.073,-0.559,0.326
64,1680179792847662047,1.836,-0.063,-0.885,1.92,0.09,0.345,1.75,-0.05,0.301
65,1680179792947575365,1.884,-0.553,1.694,1.446,-0.619,0.235,2.042,-0.545,0.322
66,1680179793058778740,1.91,-0.563,1.845,1.601,-0.682,0.278,2.063,-0.552,0.353
66,1680179793058778740,1.965,-0.009,-2.209,2.088,-0.029,0.327,1.963,0.066,0.288
67,1680179793155060118,1.918,-0.572,1.99,1.716,-0.725,0.295,2.091,-0.553,0.354
67,1680179793155060118,2.042,0.018,-2.107,2.279,-0.051,0.322,1.992,0.12,0.297
68,1680179793257646511,1.909,-0.57,2.178,1.743,-0.735,0.284,2.029,-0.534,0.325
68,1680179793257646511,2.15,0.036,-2.212,2.399,-0.068,0.319,2.1,0.158,0.325
69,1680179793357390117,1.907,-0.556,2.096,1.743,-0.718,0.272,2.075,-0.525,0.319
69,1680179793357390117,2.151,0.063,-2.233,2.404,-0.06,0.31,2.081,0.189,0.318
70,1680179793457635494,1.885,-0.551,2.162,1.765,-0.705,0.279,2.078,-0.495,0.305
70,1680179793457635494,2.181,0.09,-2.355,2.403,-0.042,0.324,2.128,0.232,0.32
71,1680179793547957978,1.91,-0.548,2.133,1.771,-0.693,0.307,2.097,-0.488,0.328
71,1680179793547957978,2.176,0.126,-2.564,2.311,-0.014,0.304,2.13,0.27,0.303
72,1680179793657538746,1.903,-0.551,2.137,1.775,-0.684,0.305,2.101,-0.476,0.321
72,1680179793657538746,2.164,0.16,-2.66,2.295,0.008,0.327,2.134,0.317,0.305
73,1680179793758784660,1.892,-0.529,2.234,1.796,-0.683,0.285,2.079,-0.455,0.308
73,1680179793758784660,2.14,0.193,-2.74,2.266,0.036,0.337,2.128,0.361,0.298
74,1680179793854078238,2.116,0.219,-3.036,2.156,0.067,0.323,2.121,0.395,0.299
74,1680179793854078238,1.908,-0.516,2.222,1.81,-0.675,0.277,2.119,-0.445,0.317
75,1680179793953668048,1.884,-0.522,2.217,1.813,-0.658,0.308,2.105,-0.435,0.332
75,1680179793953668048,2.093,0.244,-2.803,2.211,0.091,0.337,2.096,0.417,0.297
76,1680179794052927412,1.902,-0.512,2.173,1.809,-0.648,0.321,2.124,-0.425,0.334
76,1680179794052927412,2.076,0.256,-3.114,2.115,0.099,0.333,2.102,0.436,0.301
77,1680179794153728534,1.91,-0.502,2.177,1.812,-0.643,0.314,2.139,-0.416,0.322
77,1680179794153728534,2.062,0.261,-3.135,2.094,0.109,0.336,2.088,0.436,0.299
78,1680179794252207938,2.046,0.257,-3.084,2.101,0.107,0.337,2.082,0.431,0.299
